# trade_visibility_manifest.tsv — EVERY trade-producing book, producer -> desk (S-2026-07-12 never-again audit, class A).
#
# WHY: the chimera/josgp1 system produced shadow trades for WEEKS with no pipeline to the
# operator's desk (closes died in journalctl; SUI-TSMOM-H4 +12.79bp on 11-07 never left the
# box). scripts/mimic_pnl_completeness_gate.sh covers endpoint<->fold; NOTHING covered
# producer<->endpoint — a book with NO endpoint at all was invisible. This manifest is the
# closed-world record of every producer; scripts/trade_visibility_gate.sh (wired into the
# mac canary) enforces it.
#
# LAYERS: this manifest + gate are the STRUCTURAL layer (does a pipeline EXIST for every
# producer). The CONTENT-parity layer above it is tools/display_truth_selftest.py
# (Mac cron 9,39 * * * *, crash-safe wrapped, RESULT:/exit-2 pattern): does what the desk
# actually DISPLAYS match authoritative reality — live chimera cell roster vs
# /api/crypto_companion, 24h closed-trade counts producer->omega-new->/api/crypto_trades,
# enabled symbol universes vs their panels, served config labels vs wired values. A row
# can be WIRED here and still RED there (right pipe, wrong water).
#
# RULES:
#   * Every NEW trade-producing book (engine family, companion, ladder, python/C++ book,
#     any writer of closed trades) MUST get a row here IN THE SAME COMMIT that ships it.
#   * status semantics (gate behavior):
#       WIRED          producer -> transport -> endpoint -> panel -> fold all live   (pass)
#       WIRED-DISPLAY  reaches the desk display by design but does NOT fold ALL-TIME (pass)
#       RETIRED-ok     book retired/disabled; produces nothing or $0 history          (pass)
#       RESEARCH-ONLY  isolated research/ablation book, no desk claim BY DESIGN       (pass)
#       OBSERVATION    observation-only book, no orders/ledger                        (pass)
#       FIX-IN-FLIGHT  known gap, fix owned/in progress — LOUD WARN every canary run  (warn)
#       STRANDED       produces money/trades the desk cannot see                      (FAIL)
#   * chimera rows: FIX-IN-FLIGHT until the chimera->desk pipeline agent lands
#     (export_desk_trade in josgp1 main.cpp S-2026-07-12 + Mac relay), then flip the one
#     status field to WIRED.
#   * Producer paths on other boxes are prefixed josgp1: (existence not checkable Mac-side).
#
# columns: book <TAB> system <TAB> producer <TAB> transport <TAB> endpoint <TAB> panel <TAB> fold <TAB> status <TAB> note
rdagent_stock_basket	mac	tools/rdagent/execute_basket.py	NONE (desk push DISABLED — disable_paper_desk_push.sh)	NONE	NONE	NONE	RESEARCH-ONLY	PAPER $10k sim; stripped off the live desk S-2026-07-23g (operator: paper never in a live setting); forward record stays Mac-side as cert evidence for possible LIVE conversion
crypto_daily_shadow	mac-crypto	/Users/jo/Crypto/src/shadow_refresh.cpp	scp crypto_inbound.csv+state.json -> omega-new	/api/crypto_trades	LAST 15 TRADES (book=crypto)	display-only by design; crypto folds via _cctot companion	RETIRED-ok	S-2026-07-13 operator ONE-crypto-system order: shadow_refresh chain stood down (launchd bootout + watchdog archived, retire_mac_crypto_chain.sh). History CSVs remain in the desk fold; no new rows.
crypto_intraday_shadow	mac-crypto	/Users/jo/Crypto/src/shadow_refresh_intraday.cpp	scp crypto_intraday_inbound.csv+state_intraday.json -> omega-new	/api/crypto_trades	LAST 15 TRADES (book=crypto)	display-only by design	RETIRED-ok	S-2026-07-13 stood down with the daily book (same chain).
crypto_stall_companion_3books	mac-crypto	/Users/jo/Crypto/src/stall_companion.cpp	NONE (writes /Users/jo/Crypto/companion_intraday/companion_state.json; only reader was :8090 GUI, RETIRED S-2026-07-03)	NONE	NONE	NONE	RETIRED-ok	S-2026-07-13 operator retired the Mac crypto chain entirely (ONE system = josgp1); stranded PnL never displayed, books dead with the chain.
wave_companion	mac-crypto	/Users/jo/Crypto/src/wave_companion.cpp	NONE (writes /Users/jo/Crypto/backtest/data/wave_companion/state.json; no scp, no reader but selftest)	NONE	NONE	NONE	RETIRED-ok	S-2026-07-13 retired with the Mac chain (wave was already stood down 2026-07-12; row now closed).
ab_gate_200d_shadow	mac-crypto	/Users/jo/Crypto/tools/run_ab_gate_shadow.sh	NONE BY DESIGN (isolated datadir, "NO scp to the VPS" per script header)	NONE	NONE	NONE	RESEARCH-ONLY	forward A/B ablation vs live ungated book
chimera_mimic_companion	josgp1	josgp1:/home/jo/ChimeraCrypto/src/main.cpp persist_companion_clip	crypto_companion_state.json -> Mac relay refresh_crypto_companion.sh -> omega-new	/api/crypto_companion	CRYPTO COMPANIONS pollCrypto	window._cctot	WIRED	MimicCompanionEngine ladder bank; the one chimera book already on the desk
chimera_edge_slots	josgp1	josgp1:/home/jo/ChimeraCrypto/src/main.cpp g_slots	export_desk_trade -> chimera_inbound.csv -> Mac relay -> omega-new	/api/crypto_trades	LAST 15 TRADES (book=chimera)	display-only (shadow)	WIRED	export hook coded S-2026-07-12, NOT in running Jul-11 binary; chimera_inbound.csv absent on box. Flip to WIRED when pipeline agent lands + a close visibly reaches the desk.
chimera_mimic_parents	josgp1	josgp1:/home/jo/ChimeraCrypto/src/main.cpp MIMIC slots	export_desk_trade -> chimera_inbound.csv (in-flight)	/api/crypto_trades	LAST 15 TRADES (book=chimera)	display-only (shadow)	WIRED	same pipeline as edge slots
chimera_xsec	josgp1	josgp1:include/core/CrossSectionalMomentumEngine.hpp	export_desk_trade tag XSEC (in-flight)	/api/crypto_trades	LAST 15 TRADES (book=chimera)	display-only (shadow)	WIRED	XSEC-BTC/XSEC-BR + XSEC2 comparison book
chimera_riprider	josgp1	josgp1:include/core/RipRiderEngine.hpp	export_desk_trade (in-flight)	/api/crypto_trades	LAST 15 TRADES (book=chimera)	display-only (shadow)	WIRED	regime-gated next-open sleeve
chimera_32grid	josgp1	josgp1:include/core/GridEngine.hpp	NONE	NONE	NONE	NONE	OBSERVATION	32-cell threshold-comparison grid; excluded from gateway fills by design
chimera_p6_p7	josgp1	josgp1:/home/jo/ChimeraCrypto/src/main.cpp install6/P7-DERIV	NONE	NONE	NONE	NONE	OBSERVATION	observation books, no orders
chimera_python_sleeves	josgp1	josgp1:/home/jo/ChimeraCrypto/sleeves/chimera_sleeves.py	NONE (local shadow_sleeves_ledger.csv + local GUI)	NONE	NONE	NONE	RESEARCH-ONLY	paper sleeve book (currently CASH); revisit if it ever carries a live claim
chimera_upmove_shadow	josgp1	josgp1:/home/jo/ChimeraCrypto/sleeves/upmove_shadow.py	NONE (local log/positions)	NONE	NONE	NONE	RESEARCH-ONLY	hourly shadow executor, NO ORDERS
bigcap_hi52_portfolio	omega-new	include/BigCapHi52Engine.hpp	hi52_state.json (VPS)	NONE	NONE	NONE	RETIRED-ok	panel+endpoint removed S-23j (operator paper-purge); shadow:true paper $10k
